team1,team2,venue,team1_hit_six,team2_hit_six,team1_won,team2_won,promo_hit,team1_batsmen,team2_batsmen,team1_batsmen_avg_six_pct,team2_batsmen_avg_six_pct,venue_six_rate,venue_promo_rate
Kolkata Knight Riders,Royal Challengers Bengaluru,"Eden Gardens, Kolkata",0,0,0,1,0,"{'Q de Kock': {'sixes': 0, 'balls': 5, 'six_pct': 0.0}, 'AM Rahane': {'sixes': 0, 'balls': 2, 'six_pct': 0.0}, 'SP Narine': {'sixes': 0, 'balls': 5, 'six_pct': 0.0}}","{'PD Salt': {'sixes': 0, 'balls': 11, 'six_pct': 0.0}, 'V Kohli': {'sixes': 0, 'balls': 2, 'six_pct': 0.0}}",0.0,0.0,0.3333333333333333,0.3333333333333333
Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,1,0,1,1,"{'YBK Jaiswal': {'sixes': 0, 'balls': 6, 'six_pct': 0.0}, 'SV Samson': {'sixes': 1, 'balls': 4, 'six_pct': 25.0}, 'R Parag': {'sixes': 0, 'balls': 2, 'six_pct': 0.0}, 'N Rana': {'sixes': 0, 'balls': 1, 'six_pct': 0.0}}","{'Abhishek Sharma': {'sixes': 0, 'balls': 5, 'six_pct': 0.0}, 'TM Head': {'sixes': 1, 'balls': 9, 'six_pct': 11.11111111111111}}",6.25,5.555555555555555,0.5,0.5
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",0,0,1,0,0,"{'R Ravindra': {'sixes': 0, 'balls': 9, 'six_pct': 0.0}, 'RA Tripathi': {'sixes': 0, 'balls': 3, 'six_pct': 0.0}, 'RD Gaikwad': {'sixes': 0, 'balls': 1, 'six_pct': 0.0}}","{'RG Sharma': {'sixes': 0, 'balls': 4, 'six_pct': 0.0}, 'WG Jacks': {'sixes': 0, 'balls': 3, 'six_pct': 0.0}, 'RD Rickelton': {'sixes': 0, 'balls': 5, 'six_pct': 0.0}}",0.0,0.0,0.0,0.0
Delhi Capitals,Lucknow Super Giants,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",0,1,1,0,1,"{'J Fraser-McGurk': {'sixes': 0, 'balls': 2, 'six_pct': 0.0}, 'F du Plessis': {'sixes': 0, 'balls': 3, 'six_pct': 0.0}, 'Abishek Porel': {'sixes': 0, 'balls': 2, 'six_pct': 0.0}, 'Sameer Rizvi': {'sixes': 0, 'balls': 4, 'six_pct': 0.0}, 'AR Patel': {'sixes': 0, 'balls': 1, 'six_pct': 0.0}}","{'AK Markram': {'sixes': 0, 'balls': 8, 'six_pct': 0.0}, 'MR Marsh': {'sixes': 1, 'balls': 4, 'six_pct': 25.0}}",0.0,12.5,0.5,0.5
Gujarat Titans,Punjab Kings,"Narendra Modi Stadium, Ahmedabad",1,0,0,1,1,"{'B Sai Sudharsan': {'sixes': 1, 'balls': 10, 'six_pct': 10.0}, 'Shubman Gill': {'sixes': 0, 'balls': 2, 'six_pct': 0.0}}","{'Priyansh Arya': {'sixes': 0, 'balls': 8, 'six_pct': 0.0}, 'P Simran Singh': {'sixes': 0, 'balls': 4, 'six_pct': 0.0}}",5.0,0.0,0.6666666666666666,0.6666666666666666
Kolkata Knight Riders,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",0,0,1,0,0,"{'MM Ali': {'sixes': 0, 'balls': 9, 'six_pct': 0.0}, 'Q de Kock': {'sixes': 0, 'balls': 5, 'six_pct': 0.0}}","{'YBK Jaiswal': {'sixes': 0, 'balls': 5, 'six_pct': 0.0}, 'SV Samson': {'sixes': 0, 'balls': 7, 'six_pct': 0.0}}",0.0,0.0,0.0,0.0
Lucknow Super Giants,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,0,1,0,0,"{'MR Marsh': {'sixes': 0, 'balls': 7, 'six_pct': 0.0}, 'AK Markram': {'sixes': 0, 'balls': 4, 'six_pct': 0.0}, 'N Pooran': {'sixes': 0, 'balls': 2, 'six_pct': 0.0}}","{'TM Head': {'sixes': 0, 'balls': 7, 'six_pct': 0.0}, 'Abhishek Sharma': {'sixes': 0, 'balls': 5, 'six_pct': 0.0}}",0.0,0.0,0.5,0.5
Chennai Super Kings,Royal Challengers Bengaluru,"MA Chidambaram Stadium, Chepauk, Chennai",0,1,0,1,0,"{'R Ravindra': {'sixes': 0, 'balls': 5, 'six_pct': 0.0}, 'RA Tripathi': {'sixes': 0, 'balls': 3, 'six_pct': 0.0}, 'RD Gaikwad': {'sixes': 0, 'balls': 4, 'six_pct': 0.0}}","{'PD Salt': {'sixes': 1, 'balls': 10, 'six_pct': 10.0}, 'V Kohli': {'sixes': 0, 'balls': 2, 'six_pct': 0.0}}",0.0,5.0,0.0,0.0
Gujarat Titans,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",0,1,1,0,1,"{'B Sai Sudharsan': {'sixes': 0, 'balls': 4, 'six_pct': 0.0}, 'Shubman Gill': {'sixes': 0, 'balls': 8, 'six_pct': 0.0}}","{'RG Sharma': {'sixes': 0, 'balls': 4, 'six_pct': 0.0}, 'Tilak Varma': {'sixes': 1, 'balls': 8, 'six_pct': 12.5}}",0.0,6.25,0.6666666666666666,0.6666666666666666
Delhi Capitals,Sunrisers Hyderabad,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1,0,1,0,0,"{'J Fraser-McGurk': {'sixes': 1, 'balls': 8, 'six_pct': 12.5}, 'F du Plessis': {'sixes': 0, 'balls': 4, 'six_pct': 0.0}}","{'Abhishek Sharma': {'sixes': 0, 'balls': 1, 'six_pct': 0.0}, 'TM Head': {'sixes': 0, 'balls': 8, 'six_pct': 0.0}, 'Ishan Kishan': {'sixes': 0, 'balls': 4, 'six_pct': 0.0}}",6.25,0.0,0.5,0.5
